Map site number,Site Name,Site Code,Department,Province,District,Latitude,Longitude,On-site measurement,Google Earth,Recorded,Site Location notes (Satellite imagery 2020), 
55,Carmen 5,-,Loreto,Loreto,Trompeteros,-2.462834535,-76.2203941,No,251,-,-,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
56,Carmen 6,-,Loreto,Loreto,Trompeteros,-2.447437991,-76.2419449,No,247,-,-,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
57,Shiviyacu,-,Loreto,Loreto,Trompeteros,-2.522876525,-76.16061592,No,268,-,-,"PLUS PETROL NORTE SA & WALSH PERÚ SA. 2007. Mapa de sitios arqueológicos del proyecto EIA Proyecto 20 Pozos de Desarrollo y Construcción de Facilidades de Producción Lote 1AB. Datum WGS 84, Zona 18 S, Escala 1/600 000"
58,Quebrada Lupunayo,-,Loreto,Loreto,Trompeteros,-3.725830573,-75.30746959,No,130,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
59,Boca de Copal,-,Loreto,Loreto,Trompeteros,-3.71324542,-75.33514778,No,141,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
60,Campamento Base 1,S.A. 06,Loreto,Loreto,Trompeteros,-3.723717355,-75.42811482,Yes,154,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
61,Boca de Copal 1,S.A. 08,Loreto,Loreto,Trompeteros,-3.755044714,-75.37179915,Yes,158,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
62,Boca de Copal 2,S.A. 09,Loreto,Loreto,Trompeteros,-3.725455879,-75.42490073,Yes,152,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
63,Santa Isabel de Copal,S.A. 10,Loreto,Loreto,Trompeteros,-3.692308413,-75.58438082,Yes,150,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
64,Quebrada Shimbillo,S.A. 11,Loreto,Loreto,Trompeteros,-3.694442973,-75.58499455,Yes,144,-,-,"WALSH PERÚ. 2008. Ficha de Registro de Sitio Arqueológico para los EIAS para el Programa de Prospección Sísmica 2D y Construcción de los Campamentos Bases Logísticos para las Operaciones del Lote 127, para CEPSA. Anexo 3-1 al 3-22 / 22 pp. Lima, Perú"
65,Santa Rosa,LO-COR-SROS-02,Loreto,Loreto,Trompeteros,-3.168517618,-75.6553599,Yes,159,152,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
66,Copal 1,LO-COR-COP1-03,Loreto,Loreto,Trompeteros,-3.708787565,-75.3292386,Yes,129,128,At the edge of river,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
67,Copal 2,LO-COR-COP2-04,Loreto,Loreto,Trompeteros,-3.710208942,-75.32646548,Yes,138,124,At the edge of river,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
68,Nuevo Triunfo 1,LO-COR-NTRI-05,Loreto,Loreto,Trompeteros,-3.800543568,-75.09361271,Yes,129,129,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
69,Nuevo Triunfo 2,LO-COR-NTRI-06,Loreto,Loreto,Trompeteros,-3.810122955,-75.10470976,Yes,131,130,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
70,Nuevo Triunfo 3,LO-COR-NTRI-07,Loreto,Loreto,Trompeteros,-3.820325708,-75.12098594,Yes,130,133,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
71,Santa Elena,LO-COR-SELE-08,Loreto,Loreto,Trompeteros,-3.811029939,-75.08382375,Yes,133,129,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
72,Cuchara 1,LO-COR-CUCH-10,Loreto,Loreto,Trompeteros,-3.793156976,-74.8726774,Yes,127,105,In the river,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
73,Cuchara 2,LO-COR-CUCH-11,Loreto,Loreto,Trompeteros,-3.793197263,-74.84270437,Yes,133,106,At the edge of river,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
74,Belén,-,Loreto,Loreto,Trompeteros,-3.12847343,-75.70416581,No,175,-,-,"SOTO VELARDE, Lilyan. 2001. Proyecto de reconocimiento arqueológico impacto ambiental Nueva Esperanza Jibarito (región Loreto). Informe presentado al Instituto Nacional de Cultura."
75,Nuevo San Juan,-,Loreto,Loreto,Urarinas,-4.559463499,-74.81538035,No,111,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
76,San Gabriel,-,Loreto,Loreto,Urarinas,-4.61496839,-74.79507169,No,112,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
77,Victoria,-,Loreto,Loreto,Urarinas,-4.638972508,-74.80683071,No,112,-,In the river,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
78,Berlín,-,Loreto,Loreto,Urarinas,-4.657965049,-74.78797251,No,115,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
79,18 de Julio,-,Loreto,Loreto,Urarinas,-4.677351742,-74.85855712,No,108,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
80,Huallpa Isla,LO-MAR-HISL-04,Loreto,Loreto,Urarinas,-4.672887516,-74.83892913,No,107,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
81,Buenos Aires,-,Loreto,Loreto,Urarinas,-4.696760038,-74.87515315,No,108,-,In the river,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
82,Nueva Elvira,-,Loreto,Loreto,Urarinas,-4.705201244,-74.87883957,No,108,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
83,San José de Saramuro,-,Loreto,Loreto,Urarinas,-4.736557547,-74.96145089,No,120,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
84,San Pedro de Maipuco,-,Loreto,Loreto,Urarinas,-4.762139972,-75.06057168,No,116,-,In the river,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
85,Nueva Esperanza,-,Loreto,Loreto,Urarinas,-4.813575294,-75.09600924,No,114,-,In the river,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
86,Urarinas,-,Loreto,Loreto,Urarinas,-4.791489202,-75.27464377,No,117,-,At the edge of river,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
87,Nueva Santa Rosa o Santa Rosa,LO-MAR-SROS-01,Loreto,Loreto,Urarinas,-4.788142367,-75.31571892,No,117,111,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
88,Santa Teresa,-,Loreto,Loreto,Urarinas,-4.801046831,-75.34460058,No,113,-,In the river,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
89,Cuninico,LO-MAR-CUN-02,Loreto,Loreto,Urarinas,-4.803424214,-75.21740147,No,112,99,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú. //MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
90,Maipuco,-,Loreto,Loreto,Urarinas,-4.830814272,-75.12089385,No,116,-,-,"MAC KAY FULLE, Martín; y, Rafaél SANTA CRUZ. 2009. Cuninico y Maipuco, dos sitios arqueológicos en el río Marañón. Pp. 57-73. Arqueología y Sociedad, N° 20. Lima, Perú."
91,San Pedro,LO-MAR-SPED-03,Loreto,Loreto,Urarinas,-4.76635685,-75.04607155,Yes,126,-,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
92,El Guacamayal,LO-MAR-EGUA-05,Loreto,Loreto,Urarinas,-4.635265999,-74.81677635,Yes,117,111,-,"MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
